strTaxClas,ID,strITIScode,strElCode,strGName,strSComNam,strGRank,strGRank2,strSRankAZ,strSRankAZ2,strSRankCO,strSRankCO2,strSRankNM,strSRankNM2,strSRankNV,strSRankNV2,strSRankUT,strSRankUT2,strUSESA,strSProtAZ,strSProtCO,strSProtNM,strSProtNV,strSProtUT,strSGCNAZ,strSGCNCO,strSGCNNV,strSGCNNM,strSGCNUT,strPIF09,strPIF10,strPIF16,strPIF18,strPIF33,strPIF34,strPIF35,strSWReGAPmodel
AVES,636,178436,ABPAU08010,"Riparia riparia","BANK SWALLOW",G5,,S4M,,S5,,"S2B,S5N","S2B,S5N",S3B,S3B,S4B,,,,,,,,1,,,1,,,,,,,,,1
AVES,720,178443,ABPAU07010,"Stelgidopteryx serripennis","NORTHERN ROUGH-WINGED SWALLOW",G5,,S5,,S5,,"S4B,S5N",,S5B,,S4S5B,,,,,,,,1,,,,,,,,,,,,1
AVES,346,178448,ABPAU09030,"Hirundo rustica","BARN SWALLOW",G5,,S5,,S5,,"S5B,S5N",,S5B,,S5B,,,,,,,,1,,,,,,,,,,,,1
AVES,543,178455,ABPAU09010,"Petrochelidon pyrrhonota","CLIFF SWALLOW",G5,,S5,,S5B,,"S5B,S5N",,S5B,,S5B,,,,,,,,1,,,,,,,,,,,,1
AVES,542,178460,ABPAU09020,"Petrochelidon fulva","CAVE SWALLOW",G5,,,,,,"S3B,S3N","S3B,S3N",,,,,,,,,,,,,,,,,,,,,,RS,1
AVES,601,178464,ABPAU01010,"Progne subis","PURPLE MARTIN",G5,,S4,,S3B,S3B,"S3B,S4N","S3B,S4N",,,S2S3B,S2S3B,,,,,,,2,1,,,,,,,,,,,1
AVES,46,178499,ABPBM02060,"Anthus spragueii","SPRAGUE'S PIPIT",G4,,S2N,S2N,SNA,,S2N,S2N,,,,,,WSC,,,,,1,,,1,,,,,,,,,1
AVES,375,178511,ABPBR01020,"Lanius excubitor","NORTHERN SHRIKE",G5,,S2N,S2N,S5N,,S4N,,S4?N,,SNA,,,,,,,,1,,,,,,,,,,,,1
AVES,376,178515,ABPBR01030,"Lanius ludovicianus","LOGGERHEAD SHRIKE",G4,,S4,,S3S4B,S3S4B,"S3B,S4N","S3B,S4N",S4,,"S4B,S3S4N","S4B,S3S4N",,,,,"P,S",,1,1,1,1,,RC,RC,RC,RC,RC,RC,RC,1
AVES,79,178529,ABPBN01010,"Bombycilla garrulus","BOHEMIAN WAXWING",G5,,,,S5,,SNA,,,,SNA,,,,,,,,,,,,,,,,,,,,1
AVES,78,178532,ABPBN01020,"Bombycilla cedrorum","CEDAR WAXWING",G5,,S3S4N,S3S4N,"S4B,S5N",,SNA,,"S2B,S4N","S2B,S4N","S3B,S4N","S3B,S4N",,,,,,,1,,,,,,,,,,,,1
AVES,189,178536,ABPBH01010,"Cinclus mexicanus","AMERICAN DIPPER",G5,,S3,S3,S5,,"S3B,S4N","S3B,S4N",S4S5B,,S3S4,S3S4,,,,,,,1,1,,,,,RS,,,,,RC,1
AVES,788,178541,ABPBG09010,"Troglodytes aedon","HOUSE WREN",G5,,S5,,S5,,"S5B,S5N",,S5B,,"S5B,S3N","S5B,S3N",,,,,,,1,,,,,,,,,,,,1
AVES,789,178547,ABPBG09050,"Troglodytes troglodytes","WINTER WREN",G5,,S2S3N,S2S3N,SNA,,S3N,S3N,S1,S1,S3N,S3N,,,,,,,1,,,,,,,,,,,,1
AVES,775,178562,ABPBG07010,"Thryomanes bewickii","BEWICK'S WREN",G5,,S5,,S5,,"S4B,S4N",,S5,,S4S5,,,,,,,,,,,,,,,,,,,,1
AVES,776,178581,ABPBG06130,"Thryothorus ludovicianus","CAROLINA WREN",G5,,,,S1,S1,S4N,,,,,,,,,,,,,,,,,,,,,,,,1
AVES,131,178587,ABPBG02090,"Campylorhynchus brunneicapillus","CACTUS WREN",G5,,S5,,,,"S5B,S5N",,S4,,S2S3,S2S3,,,,,,,,,,,,,,,,"CS,RS",RC,"CS,RS",1
AVES,192,178605,ABPBG10010,"Cistothorus platensis","SEDGE WREN",G5,,,,SNA,,SNA,,,,,,,,,,,,,,,,,,,,,,,,1
