strTaxClas,ID,strITIScode,strElCode,strGName,strSComNam,strGRank,strGRank2,strSRankAZ,strSRankAZ2,strSRankCO,strSRankCO2,strSRankNM,strSRankNM2,strSRankNV,strSRankNV2,strSRankUT,strSRankUT2,strUSESA,strSProtAZ,strSProtCO,strSProtNM,strSProtNV,strSProtUT,strSGCNAZ,strSGCNCO,strSGCNNV,strSGCNNM,strSGCNUT,strPIF09,strPIF10,strPIF16,strPIF18,strPIF33,strPIF34,strPIF35,strSWReGAPmodel
AVES,554,179139,ABPBX61030,"Pheucticus ludovicianus","ROSE-BREASTED GROSBEAK",G5,,S3N,S3N,SNA,,S4N,,,,SNA,,,,,,,,1,,,,,,,,,,,,1
AVES,555,179140,ABPBX61040,"Pheucticus melanocephalus","BLACK-HEADED GROSBEAK",G5,,S5,,S4B,,"S5B,S5N",,S5B,,S4B,,,,,,,,1,,,,,,,,,,,,1
AVES,336,179145,ABPBX63010,"Guiraca caerulea","BLUE GROSBEAK",G5,,S5,,S4B,,"S5B,S5N",,S3B,S3B,S3B,S3B,,,,,,,,,,,,,,,,,,,1
AVES,520,179150,ABPBX64030,"Passerina cyanea","INDIGO BUNTING",G5,,S3,S3,S3S4B,S3S4B,"S5B,S5N",,S2S3,S2S3,S2S3B,S2S3B,,,,,,,1,,,,,,,,,,,,1
AVES,518,179151,ABPBX64020,"Passerina amoena","LAZULI BUNTING",G5,,S4,,S5B,,"S4B,S4N",,S5B,,S4S5B,,,,,,,,1,1,,,,RS,RS,,,,,,1
AVES,521,179152,ABPBX64040,"Passerina versicolor","VARIED BUNTING",G5,,S3,S3,,,"S1B,S1N","S1B,S1N",,,,,,,,T,,,1,,,1,,,,,,CC,CC,"CC,,RS",1
AVES,519,179156,ABPBX64060,"Passerina ciris","PAINTED BUNTING",G5,,S2S3M,S2S3M,,,"S4B,S4N",,,,,,,,,,,,1,,,1,,,,,,,,"CC,RC",1
AVES,713,179165,ABPBX65010,"Spiza americana",DICKCISSEL,G5,,S2M,S2M,S3B,S3B,"S1B,S4N","S1B,S4N",,,,,,,,,,,1,1,,,,,,,CC,,,,1
AVES,210,179173,ABPBY09020,"Coccothraustes vespertinus","EVENING GROSBEAK",G5,,S3,S3,S4,,"S4B,S4N",,S2,S2,S3?B,S3?B,,,,,,,1,1,,,,,,,,,,,1
AVES,147,179186,ABPBY04020,"Carpodacus purpureus","PURPLE FINCH",G5,,S1S2N,S1S2N,SNA,,SNA,,,,,,,,,,,,1,,,,,RC,,,,,,,1
AVES,145,179190,ABPBY04030,"Carpodacus cassinii","CASSIN'S FINCH",G5,,S4,,S5,,"S3B,S5N","S3B,S5N",S5,,"S4S5B,S4N",,,,,,,,1,1,1,,,"CS,RS","RC,CS,RS",RC,,,,,1
AVES,146,179191,ABPBY04040,"Carpodacus mexicanus","HOUSE FINCH",G5,,S5,,S5,,"S5B,S5N",,S5,,S5,,,,,,,,1,,,,,,,,,,,,1
AVES,572,179205,ABPBY03010,"Pinicola enucleator","PINE GROSBEAK",G5,,S1,S1,S5,,"S2B,S3N","S2B,S3N",S2,S2,S3S4,S3S4,,WSC,,,,,1,,,,,,,,,,,,1
AVES,403,179215,ABPBY02030,"Leucosticte tephrocotis","GRAY-CROWNED ROSY-FINCH",G5,,,,S4N,,S3N,S3N,S3N,S3N,S3N,S3N,,,,,,,,,1,,,,,,,,,,1
AVES,401,179222,ABPBY02010,"Leucosticte atrata","BLACK ROSY-FINCH",G4,,,,S4N,,S3N,S3N,S3,S3,S2S3,S2S3,,,,,,,,1,1,,1,"CC,CS,RS","CC,CS,RS",CC,,,,,1
AVES,402,179223,ABPBY02020,"Leucosticte australis","BROWN-CAPPED ROSY-FINCH",G4,,,,"S3B,S4N","S3B,S4N","S1B,S3N","S1B,S3N",,,,,,,,,,,,1,,,,,,"CC,CS,RS",,,,,1
AVES,140,179230,ABPBY06010,"Carduelis flammea","COMMON REDPOLL",G5,,,,SNA,,SNA,,,,S3N,S3N,,,,,,,,,,,,,,,,,,,1
AVES,141,179232,ABPBY06100,"Carduelis lawrencei","LAWRENCE'S GOLDFINCH",G3G4,G3G4,S1S3N,S1S3N,,,SNA,,,,,,,,,,,,1,,,,,,,,,CC,,,1
AVES,142,179233,ABPBY06030,"Carduelis pinus","PINE SISKIN",G5,,S5,,S5,,"S4B,S5N",,S5,,S4,,,,,,,,,,,,,,,"RC,RS",,,,,1
AVES,143,179234,ABPBY06090,"Carduelis psaltria","LESSER GOLDFINCH",G5,,S5,,S4B,,"S4B,S4N",,S4B,,"S3S4B,S3N","S3S4B,S3N",,,,,,,1,,,,,,,,,,,,1
AVES,144,179236,ABPBY06110,"Carduelis tristis","AMERICAN GOLDFINCH",G5,,"S1B,S5N","S1B,S5N",S5,,"S2B,S5N","S2B,S5N",S5,,S4,,,,,,,,,,,,,,,,,,,,1
AVES,410,179259,ABPBY05010,"Loxia curvirostra","RED CROSSBILL",G5,,S4,,S5,,"S4B,S4N",,S5,,S2S3,S2S3,,,,,,,,1,,,,,RS,,,,,,1
AVES,411,179268,ABPBY05020,"Loxia leucoptera","WHITE-WINGED CROSSBILL",G5,,,,S1B,S1B,SNA,,,,S1S2N,S1S2N,,,,,,,,,,,,,,,,,,,1
AVES,575,179293,ABPBX74040,"Pipilo fuscus","CANYON TOWHEE",G5,,S5,,,,"S5B,S5N",,,,,,,,,,,,,,,,,,,,,,"RC,CS,RS","CS,RS",1
AVES,573,179307,ABPBX74050,"Pipilo aberti","ABERT'S TOWHEE",G3G4,G3G4,S3,S3,,,"S1B,S1N","S1B,S1N",S3,S3,S1?B,S1?B,,,,T,,,1,,1,1,1,,,,,"CC,CS,RS",CC,,1
AVES,574,179310,ABPBX74010,"Pipilo chlorurus","GREEN-TAILED TOWHEE",G5,,"S3B,S4N","S3B,S4N",S5,,"S3B,S4N","S3B,S4N",S5B,,S4B,,,,,,,,1,,,,,"RC,CS,RS",,"CS,RS",,,,,1
AVES,109,179312,ABPBX98010,"Calamospiza melanocorys","LARK BUNTING",G5,,"S1B,S5N","S1B,S5N",S4,,"S3B,S5N","S3B,S5N",,,S2S3B,S2S3B,,,,,,,1,1,,,,,RC,,"RC,CS,RS",,,,1
AVES,516,179314,ABPBX99010,"Passerculus sandwichensis","SAVANNAH SPARROW",G5,,S5,,S4B,,"S2B,S5N","S2B,S5N",S5B,,"S5B,S3S4N","S5B,S3S4N",,,,,,,1,,,,,,,,,,,,1
AVES,26,179333,ABPBXA0020,"Ammodramus savannarum","GRASSHOPPER SPARROW",G5,,S3,S3,S3S4B,S3S4B,"S3B,S3N","S3B,S3N",SU,,S1B,S1B,,,,SUB-E,,WSC,2,,,1,1,,,,"RC,CS,RS",,,,1
AVES,24,179339,ABPBXA0010,"Ammodramus bairdii","BAIRD'S SPARROW",G4,,S2N,S2N,SNA,,S1N,S1N,SNRN,,,,,WSC,,T,,,1,,,1,,,,,,,,,1
AVES,25,179345,ABPBXA0040,"Ammodramus leconteii","LE CONTE'S SPARROW",G4,,,,,,S2N,S2N,,,,,,,,,,,,,,,,,,,,,,,1
AVES,598,179366,ABPBX95010,"Pooecetes gramineus","VESPER SPARROW",G5,,S5,,S5,,"S5B,S4N",,S4B,,"S5B,S2N","S5B,S2N",,,,,,,1,1,,,,,,,,,,,1
AVES,185,179371,ABPBX96010,"Chondestes grammacus","LARK SPARROW",G5,,S5,,S4,,"S4B,S4N",,S4B,,"S5B,S2N","S5B,S2N",,,,,,,1,,,,,,,,RC,,,,1
AVES,14,179375,ABPBX91080,"Aimophila carpalis","RUFOUS-WINGED SPARROW",G4,,S3,S3,,,,,,,,,,,,,,,1,,,,,,,,,"CC,RC,CS,RS","CC,RC",,1
AVES,17,179377,ABPBX91090,"Aimophila ruficeps","RUFOUS-CROWNED SPARROW",G5,,S4,,S2,S2,"S5B,S5N",,S1,S1,,,,WSC,,,,,1,,,,,,,,,,RS,RS,1
AVES,13,179390,ABPBX91060,"Aimophila botterii","BOTTERI'S SPARROW",G4,,S4,,,,"S1B,S1N","S1B,S1N",,,,,,,,,,,1,,,1,,,,,,,,,1
AVES,15,179393,ABPBX91070,"Aimophila cassinii","CASSIN'S SPARROW",G5,,S4,,S4B,,"S5B,S5N",,,,,,,,,,,,1,1,,,,,,,"RC,RS",,RC,"RC,RS",1
AVES,32,179395,ABPBX97010,"Amphispiza bilineata","BLACK-THROATED SPARROW",G5,,S5,,S3B,S3B,"S5B,S5N",,S5B,,"S5B, S2N","S5B, S2N",,,,,,,1,,,,,,,RC,,RS,RS,RS,1
AVES,31,179402,ABPBX97020,"Amphispiza belli","SAGE SPARROW",G5,,S4,,S3B,S3B,"S3B,S4N","S3B,S4N","S4B,S4N",,S3S4,S3S4,,,,,,,1,1,1,1,1,"RC,CS,RS",,RC,,,,,1
AVES,365,179410,ABPBXA5020,"Junco hyemalis","DARK-EYED JUNCO",G5,,S5,,S5,,"S5B,S5N",,S5,,"S4B,S5N",,,,,,,,1,,,,,,,,,,,,1
AVES,366,179427,ABPBXA5030,"Junco phaeonotus","YELLOW-EYED JUNCO",G5,,S3,S3,,,"S2B,S2N","S2B,S2N",,,,,,,,T,,,1,,,1,,,,,,,RS,,1
AVES,714,179432,ABPBX94010,"Spizella arborea","AMERICAN TREE SPARROW",G5,,S1N,S1N,S5N,,S4N,,S4N,,S3S4N,S3S4N,,,,,,,,,,,,,,,,,,,1
AVES,718,179435,ABPBX94020,"Spizella passerina","CHIPPING SPARROW",G5,,S5,,"S4B,S5N",,"S4B,S5N",,S5B,,S4S5B,,,,,,,,1,,,,,,,,,,,,1
AVES,717,179439,ABPBX94030,"Spizella pallida","CLAY-COLORED SPARROW",G5,,S1N,S1N,SNA,,S4N,,,,,,,,,,,,1,,,,,,,,,,,,1
AVES,716,179440,ABPBX94040,"Spizella breweri","BREWER'S SPARROW",G5,,S5,,S4B,,"S3B,S4N","S3B,S4N",S4B,,S4S5B,,,,,,"P,S",,1,1,1,,1,"CC,RC,CS,RS","CC,RC","CC,RC","CC,RC",CC,,,1
AVES,719,179443,ABPBX94050,"Spizella pusilla","FIELD SPARROW",G5,,,,S1B,S1B,S3N,S3N,,,,,,,,,,,,,,,,,,,,,,,1
AVES,715,179448,ABPBX94070,"Spizella atrogularis","BLACK-CHINNED SPARROW",G5,,S5,,,,"S3B,S3N","S3B,S3N",S3B,S3B,S3B,S3B,,,,,,,1,,1,,,CC,,CC,,,"CC,,RS",CC,1
AVES,839,179454,ABPBXA4050,"Zonotrichia querula","HARRIS'S SPARROW",G5,,S1N,S1N,S4N,,S4N,,,,S3N,S3N,,,,,,,1,1,,,,,,,,,,,1
AVES,838,179455,ABPBXA4040,"Zonotrichia leucophrys","WHITE-CROWNED SPARROW",G5,,"S1B,S5N","S1B,S5N",S5,,"S5B,S5N",,S5,,S4,,,,,,,,1,,,,,,,,,,,,1
AVES,837,179461,ABPBXA4030,"Zonotrichia atricapilla","GOLDEN-CROWNED SPARROW",G5,,S1S2N,S1S2N,SNA,,S4N,,S4N,,S3N,S3N,,,,,,,1,,,,,,,,,,,,1
AVES,836,179462,ABPBXA4020,"Zonotrichia albicollis","WHITE-THROATED SPARROW",G5,,S2S3N,S2S3N,SNA,,S4N,,SNA,,S3S4N,S3S4N,,,,,,,1,,,,,,,,,,,,1
AVES,517,179464,ABPBXA2010,"Passerella iliaca","FOX SPARROW",G5,,S2N,S2N,S4B,,S4N,,S5B,,S2S3B,S2S3B,,,,,,,1,,,,,,,,,,,,1
AVES,430,179484,ABPBXA3020,"Melospiza lincolnii","LINCOLN'S SPARROW",G5,,"S3B,S5N","S3B,S5N",S5B,,"S2B,S5N","S2B,S5N","S2B,S4N","S2B,S4N","S4B,S3N","S4B,S3N",,,,,,,1,,,,,,,,,,,,1
AVES,429,179488,ABPBXA3030,"Melospiza georgiana","SWAMP SPARROW",G5,,S2S3N,S2S3N,SNA,,S4N,,,,S3N,S3N,,,,,,,1,,,,,,,,,,,,1
AVES,431,179492,ABPBXA3010,"Melospiza melodia","SONG SPARROW",G5,,S5,,S5,,"S4B,S5N",,S5,,S4S5,,,,,,,,1,,,,,,,,,,,,1
AVES,111,179525,ABPBXA6010,"Calcarius mccownii","MCCOWN'S LONGSPUR",G4,,S2N,S2N,S2B,S2B,S3N,S3N,,,,,,,,,,,1,1,,,,,"CC,RC",,"CC,CS,RS",,,,1
AVES,110,179526,ABPBXA6020,"Calcarius lapponicus","LAPLAND LONGSPUR",G5,,S1N,S1N,S5N,,S4N,,,,S3N,S3N,,,,,,,1,,,,,,,,,,,,1
AVES,112,179530,ABPBXA6040,"Calcarius ornatus","CHESTNUT-COLLARED LONGSPUR",G5,,S3N,S3N,S1B,S1B,S3N,S3N,SNA,,,,,,,,,,1,1,,,,,RC,,RC,,,,1
AVES,583,179532,ABPBXA8010,"Plectrophenax nivalis","SNOW BUNTING",G5,,,,SNA,,SNA,,,,S3N,S3N,,,,,,,,,,,,,,,,,,,1
AVES,515,179628,ABPBZ01010,"Passer domesticus","HOUSE SPARROW",G5,,SNA,,SNA,,SNA,,SNA,,SNA,,,,,,,,,,,,,,,,,,,,1
AVES,730,179637,ABPBT01010,"Sturnus vulgaris","EUROPEAN STARLING",G5,,SNA,,SNA,,SNA,,SNA,,SNA,,,,,,,,,,,,,,,,,,,,1
AVES,525,179667,ABPAV01010,"Perisoreus canadensis","GRAY JAY",G5,,S2,S2,S5,,"S4B,S4N",,,,S3S4,S3S4,,,,,,,1,,,,,,,,,,,,1
AVES,246,179680,ABPAV02020,"Cyanocitta cristata","BLUE JAY",G5,,,,S5,,"S4B,S4N",,,,SNA,,,,,,,,,,,,,,,,,,,,1
AVES,247,179685,ABPAV02010,"Cyanocitta stelleri","STELLER'S JAY",G5,,S5,,S5,,"S5B,S5N",,S4S5,,S4S5,,,,,,,,1,,,,,,,,,,,,1
AVES,52,179707,ABPAV06020,"Aphelocoma ultramarina","MEXICAN JAY",G5,,S5,,,,"S4B,S4N",,,,,,,,,,,,1,,,,,,,,,,RS,,1
AVES,565,179720,ABPAV09010,"Pica hudsonia","BLACK-BILLED MAGPIE",G5,,S3,S3,S5,,"S4B,S4N",,S5,,S5,,,WSC,,,,,1,,,,,RS,,RS,,,,,1
AVES,229,179725,ABPAV10110,"Corvus corax","COMMON RAVEN",G5,,S5,,S5,,"S5B,S5N",,S5,,S5,,,,,,,,1,,,,,,,,,,,,1
AVES,230,179730,ABPAV10100,"Corvus cryptoleucus","CHIHUAHUAN RAVEN",G5,,S4,,S3S4,S3S4,"S4B,S5N",,,,,,,,,,,,1,,,,,,,,RS,,,RS,1
AVES,228,179731,ABPAV10010,"Corvus brachyrhynchos","AMERICAN CROW",G5,,S5,,S5,,"S5B,S5N",,S5,,"S3S4B,S5N","S3S4B,S5N",,,,,,,1,,,,,,,,,,,,1
AVES,341,179748,ABPAV07010,"Gymnorhinus cyanocephalus","PINYON JAY",G5,,S5,,S5,,"S3B,S3N","S3B,S3N",S3S4,S3S4,S4,,,,,,,,,1,1,1,,"CC,RC,CS,RS",CC,"CC,RC,CS,RS",CC,,"CC,RC",CC,1
AVES,483,179750,ABPAV08010,"Nucifraga columbiana","CLARK'S NUTCRACKER",G5,,S5,,SNR,,"S4B,S4N",,S5,,S4,,,,,,,,1,,,,,,"CS,RS","CS,RS",,,,,1
AVES,793,179759,ABPBJ20170,"Turdus migratorius","AMERICAN ROBIN",G5,,,,S5,,"S5B,S5N",,S5,,S5,,,,,,,,1,1,,,,,,,,,,,1
AVES,364,179773,ABPBJ22010,"Ixoreus naevius","VARIED THRUSH",G5,,S1N,S1N,SNA,,SNA,,SNA,,SNA,,,,,,,,,,,,,,,,,,,,1
AVES,352,179777,ABPBJ19010,"Hylocichla mustelina","WOOD THRUSH",G5,,,,SNA,,SNA,,,,,,,,,,,,,,,,,,,,,,,,1
AVES,151,179779,ABPBJ18110,"Catharus guttatus","HERMIT THRUSH",G5,,S5,,S5B,,"S5B,S5N",,S4B,,"S4B,S2N","S4B,S2N",,,,,,,1,,,,,,,,,,,,1
AVES,153,179788,ABPBJ18100,"Catharus ustulatus","SWAINSON'S THRUSH",G5,,S1,S1,S5B,,"S3B,S4N","S3B,S4N",S3B,S3B,S3S4B,S3S4B,,,,,,,1,,,,,,,,,,,,1
AVES,152,179793,ABPBJ18090,"Catharus minimus","GRAY-CHEEKED THRUSH",G5,,,,S5B,,SNA,,,,,,,,,,,,,,,,,,,,,,,,1
AVES,150,179796,ABPBJ18080,"Catharus fuscescens",VEERY,G5,,S1,S1,S3B,S3B,"S1B,S4N","S1B,S4N",,,SHB,,,WSC,,,,,,1,,,,,,,,,,,1
AVES,672,179801,ABPBJ15010,"Sialia sialis","EASTERN BLUEBIRD",G5,,S4,,S2B,S2B,"S1B,S5N","S1B,S5N",,,,,,,,,,,2,,,,,,,,,,,,1
AVES,671,179806,ABPBJ15020,"Sialia mexicana","WESTERN BLUEBIRD",G5,,S5,,"S5B,S4N",,"S4B,S4N",,S3,S3,S2S3,S2S3,,,,,,,1,,,,,,,RS,,,RS,,1
AVES,670,179811,ABPBJ15030,"Sialia currucoides","MOUNTAIN BLUEBIRD",G5,,S5,,S5,,"S4B,S4N",,S4,,"S4S5B,S3S4N","S4S5B,S3S4N",,,,,,,1,,,,,,,"RC,CS,RS",,,,,1
AVES,455,179824,ABPBJ16010,"Myadestes townsendi","TOWNSEND'S SOLITAIRE",G5,,S5,,S5,,"S4B,S5N",,S5,,S4,,,,,,,,1,,,,,,RS,,,,,,1
AVES,595,179853,ABPBJ08010,"Polioptila caerulea","BLUE-GRAY GNATCATCHER",G5,,S5,,S5B,,"S4B,S4N",,S4B,,S5B,,,,,,,,1,,,,,,,,,,,,1
AVES,596,179857,ABPBJ08030,"Polioptila melanura","BLACK-TAILED GNATCATCHER",G5,,S5,,,,"S3B,S3N","S3B,S3N",S4,,S1B,S1B,,,,,,,,,,,,,,,,"CS,RS",,"CS,RS",1
AVES,597,179863,ABPBJ08040,"Polioptila nigriceps","BLACK-CAPPED GNATCATCHER",G5,,S1,S1,,,,,,,,,,WSC,,,,,1,,,,,,,,,,CC,,1
AVES,631,179865,ABPBJ05010,"Regulus satrapa","GOLDEN-CROWNED KINGLET",G5,,S3,S3,S4,,"S4B,S4N",,S4S5N,,S4,,,,,,,,1,,,,,,RS,,,,,,1
AVES,630,179870,ABPBJ05020,"Regulus calendula","RUBY-CROWNED KINGLET",G5,,S5,,S5B,,"S5B,S5N",,"S4B,S4N",,S5,,,,,,,,1,,,,,,,,,,,,1
AVES,545,179877,ABPBP03010,"Phainopepla nitens",PHAINOPEPLA,G5,,S5,,,,"S4B,S4N",,S2B,S2B,S1,S1,,,,,,,1,,1,,,,,,,"CS,RS","RC,CS,RS",CS,1
AVES,580,179882,ABPBX45050,"Piranga ludoviciana","WESTERN TANAGER",G5,,S5,,S4B,,"S4B,S5N",,S4B,,S4B,,,,,,,,1,,,,,,,,,,,,1
AVES,579,179884,ABPBX45020,"Piranga flava","HEPATIC TANAGER",G5,,S4,,S1B,S1B,"S4B,S5N",,SNA,,,,,,,,,,1,,,,,,,,,,RS,,1
AVES,581,179888,ABPBX45030,"Piranga rubra","SUMMER TANAGER",G5,,S4,,SNA,,"S4B,S5N",,S2B,S2B,S1B,S1B,,,,,,,1,,,,,,,,,,,RC,1
AVES,578,179891,,"Piranga bidentata","FLAME-COLORED TANAGER",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
MAMMALIA,270,179921,AMAAA01010,"Didelphis virginiana","VIRGINIA OPOSSUM",G5,,S2S3,S2S3,S1,S1,SNR,,,,,,,,,,,,2,,,,,,,,,,,,1
MAMMALIA,683,179929,AMABA01010,"Sorex cinereus","MASKED SHREW",G5,,,,S5,,S2,S2,,,S3?,S3?,,,,,,,,,,,,,,,,,,,1
MAMMALIA,692,179932,AMABA01070,"Sorex vagrans","VAGRANT SHREW",G5,,,,,,,,S4,,S3S4,S3S4,,,,,,,,,1,,,,,,,,,,1
MAMMALIA,688,179933,AMABA01150,"Sorex palustris","NORTHERN WATER SHREW",G5,,S1,S1,S4,,S2,S2,S2,S2,S4,,,WSC,,,,,1,,1,,,,,,,,,,1
MAMMALIA,682,179939,AMABA01240,"Sorex arizonae","ARIZONA SHREW",G3,G3,S2S3,S2S3,,,S1,S1,,,,,,WSC,,E,,,1,,,,,,,,,,,,1
MAMMALIA,684,179946,AMABA01250,"Sorex hoyi","PYGMY SHREW",G5,,,,S2,S2,,,,,,,,,,,,,,,,,,,,,,,,,1
MAMMALIA,685,179949,AMABA01230,"Sorex merriami","MERRIAM'S SHREW",G5,,S3,S3,S3,S3,S2,S2,S3,S3,SH,,,,,,,,1,,1,,1,,,,,,,,1
MAMMALIA,686,179950,AMABA01080,"Sorex monticolus","MONTANE SHREW",G5,,S4,,S5,,S4,,S3,S3,S3S4,S3S4,,,,,,,,,1,,,,,,,,,,1
MAMMALIA,687,179951,AMABA01130,"Sorex nanus","DWARF SHREW",G4,,S1S2,S1S2,S2,S2,S2,S2,,,S1?,S1?,,,,,,,1,1,,,1,,,,,,,,1
MAMMALIA,689,179954,AMABA01030,"Sorex preblei","PREBLE'S SHREW",G4,,,,S1,S1,S1,S1,S1S2,S1S2,S1,S1,,,,,,WSC,,1,1,1,1,,,,,,,,1
MAMMALIA,690,179955,AMABA01110,"Sorex tenellus","INYO SHREW",G3G4,G3G4,,,,,,,S2,S2,,,,,,,,,,,1,,,,,,,,,,1
MAMMALIA,691,179956,AMABA01220,"Sorex trowbridgii","TROWBRIDGE'S SHREW",G5,,,,,,,,S2,S2,,,,,,,,,,,1,,,,,,,,,,1
MAMMALIA,76,179969,AMABA03030,"Blarina hylophaga","ELLIOT'S SHORT-TAILED SHREW",G5,,,,SH,,,,,,,,,,,,,,,,,,,,,,,,,,1
MAMMALIA,244,179971,AMABA04010,"Cryptotis parva","LEAST SHREW",G5,,,,S5,,S2,S2,,,,,,,,T,,,,,,1,,,,,,,,,1
MAMMALIA,482,179973,AMABA05010,"Notiosorex crawfordi","DESERT SHREW",G5,,S4S5,,S3,S3,S4,,S3,S3,SH,,,,,,,,1,,,,1,,,,,,,,1
MAMMALIA,645,179979,AMABB04010,"Scalopus aquaticus","EASTERN MOLE",G5,,S4,,S2,S2,,,,,,,,,,,,,,,,,,,,,,,,,1
MAMMALIA,646,179981,AMABB02030,"Scapanus latimanus","BROAD-FOOTED MOLE",G5,,,,,,,,S3,S3,,,,,,,,,,,1,,,,,,,,,,1
MAMMALIA,466,179988,AMACC01010,"Myotis lucifugus","LITTLE BROWN BAT",G5,,,,S5,,S5,,S3,S3,S4,,,,,,,,,,1,,,,,,,,,,1
MAMMALIA,469,179990,AMACC01110,"Myotis volans","LONG-LEGGED MYOTIS",G5,,S3S4,S3S4,S5,,S5,,S4,,S4,,,,,,,,,,,,,,,,,,,,1
MAMMALIA,463,179991,AMACC01120,"Myotis californicus","CALIFORNIA MYOTIS",G5,,S4S5,,S3,S3,S5,,S4,,S3?,S3?,,,,,,,1,,,,,,,,,,,,1
MAMMALIA,462,179992,AMACC01080,"Myotis auriculus","SOUTHWESTERN MYOTIS",G5,,S3,S3,,,S4,,,,,,,,,,,,,,,,,,,,,,,,1
MAMMALIA,464,179995,AMACC01070,"Myotis evotis","LONG-EARED MYOTIS",G5,,S3S4,S3S4,S4,,S4,,S4,,S4B?,,,,,,,,,,,,,,,,,,,,1
MAMMALIA,465,179999,AMACC01140,"Myotis ciliolabrum","WESTERN SMALL-FOOTED MYOTIS",G5,,S3,S3,S4,,S5,,S3,S3,S3S4,S3S4,,,,,,,,,1,,,,,,,,,,1
MAMMALIA,467,180002,AMACC01090,"Myotis thysanodes","FRINGED MYOTIS",G4G5,,S3S4,S3S4,S3,S3,S5,,S2,S2,S3B,S3B,,,,,P,WSC,,1,1,,1,,,,,,,,1
MAMMALIA,468,180003,AMACC01050,"Myotis velifer","CAVE MYOTIS",G5,,S4,,,,S4,,S1,S1,,,,,,,,,,,1,,,,,,,,,,1
MAMMALIA,470,180004,AMACC01020,"Myotis yumanensis","YUMA MYOTIS",G5,,S3S4,S3S4,S3,S3,S5,,S3S4,S3S4,S3,S3,,,,,,,,,,,1,,,,,,,,1
MAMMALIA,48,180006,AMACC10010,"Antrozous pallidus","PALLID BAT",G5,,S4S5,,S4,,S5,,S3,S3,S4,,,,,,P,,1,,,,,,,,,,,,1
MAMMALIA,295,180008,AMACC04010,"Eptesicus fuscus","BIG BROWN BAT",G5,,S4S5,,S5,,S5,,S4,,S4,,,,,,,,,,,,,,,,,,,,1
MAMMALIA,298,180010,AMACC07010,"Euderma maculatum","SPOTTED BAT",G4,,S1S2,S1S2,S2,S2,S3,S3,S2,S2,S2S3,S2S3,,WSC,,T,"P,T",WSC,1,1,1,1,1,,,,,,,,1
MAMMALIA,362,180012,AMACC09010,"Idionycteris phyllotis","ALLEN'S BIG-EARED BAT",G3G4,G3G4,S2S3,S2S3,,,S2,S2,S1,S1,S2,S2,,,,,P,WSC,,1,1,1,1,,,,,,,,1
MAMMALIA,384,180014,AMACC02010,"Lasionycteris noctivagans","SILVER-HAIRED BAT",G5,,S3S4,S3S4,S5,,S5,,S3,S3,S4B,,,,,,,,,,,,,,,,,,,,1
MAMMALIA,385,180016,AMACC05060,"Lasiurus blossevillii","WESTERN RED BAT",G5,,S2,S2,,,S2,S2,S1,S1,S1,S1,,WSC,,,"P,S",WSC,1,,1,1,1,,,,,,,,1
MAMMALIA,387,180017,AMACC05030,"Lasiurus cinereus","HOARY BAT",G5,,S4S5,,S5B,,S3N,S3N,S3,S3,S4B,,PS,,,,,,,,1,,,,,,,,,,1
MAMMALIA,388,180018,AMACC05050,"Lasiurus ega","SOUTHERN YELLOW BAT",G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MAMMALIA,577,180024,AMACC03010,"Pipistrellus hesperus","WESTERN PIPISTRELLE",G5,,S5,,S4,,S5,,S4,,S4,,,,,,,,1,,,,,,,,,,,,1
MAMMALIA,184,180062,AMACB02010,"Choeronycteris mexicana","MEXICAN LONG-TONGUED BAT",G4,,S2S3,S2S3,,,S2,S2,,,,,,WSC,,,,,,,,1,,,,,,,,,1
MAMMALIA,393,180068,AMACB03010,"Leptonycteris nivalis","MEXICAN LONG-NOSED BAT",G3,G3,,,,,S1,S1,,,,,E,,,E,,,,,,1,,,,,,,,,1
MAMMALIA,414,180071,AMACB01010,"Macrotus californicus","CALIFORNIA LEAF-NOSED BAT",G4,,S3S4,S3S4,,,,,S2,S2,,,,WSC,,,"P,S",,1,,1,,,,,,,,,,1
MAMMALIA,307,180080,AMACD02010,"Eumops perotis","WESTERN MASTIFF BAT",G5,,S2S3,S2S3,,,,,S1,S1,,,,,,,,,2,,,,,,,,,,,,1
MAMMALIA,308,180081,AMACD02020,"Eumops underwoodi","UNDERWOOD'S MASTIFF BAT",G4,,S1,S1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
MAMMALIA,489,180085,AMACD04010,"Nyctinomops femorosaccus","POCKETED FREE-TAILED BAT",G4,,S2S3,S2S3,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
MAMMALIA,490,180086,AMACD04020,"Nyctinomops macrotis","BIG FREE-TAILED BAT",G5,,S2S3,S2S3,S1,S1,S3,S3,S1S2,S1S2,S2B,S2B,,,,,,WSC,1,,1,,1,,,,,,,,1
MAMMALIA,736,180088,AMACD01010,"Tadarida brasiliensis","BRAZILIAN FREE-TAILED BAT",G5,,S3S4,S3S4,S1,S1,S3,S3,S3S4,S3S4,S4B?,,,,,,P,,1,,,,,,,,,,,,1
MAMMALIA,257,180103,AMADA01010,"Dasypus novemcinctus","NINE-BANDED ARMADILLO",G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
